0Dreamstars.ModTranslation-name|Mod de traducción
Dreamstars.ModTranslation-description|Este mod se utiliza para traducir textos que otros mods añaden.<LINE><LINE>áreas de traducción:<LINE>regiones de mods<LINE>gatobabosas de mods<LINE>perlas personalizadas<LINE>diálogos personalizados<LINE>misiones personalizadas<LINE>comentarios de desarrollador personalizados<LINE><LINE>aquí la versión sin steam: https://github.com/InkCloudStarsDream/Rainworld-ModTranslation<LINE><LINE>Actualmente tiene soporte para el chino, son bienvenidos a ayudarnos a traducir en otros idiomas.<LINE><LINE>Si deseas ayudarnos a traducir o darnos algún consejo, siéntete libre de mandarme un MD en Discord: @MoseYanyun.<LINE><LINE>Contribuidores:<LINE>@MoseYanyun<LINE>@Exmeow<LINE>@Celen<LINE>@W1LD1CECA7<LINE>
TEXT ERROR|ERROR DE TEXTO
//2923214961
Abyss|Abismo
Stormy lands|Tierras Tempestuosas
Railway|Vía Férrea
Rackdale|Rackdale
Central Factory|Fábrica Central
Central Factory - Sector A|Fábrica Central - Sector A
Central Factory - Sector A - Reactor|Fábrica Central - Sector A - Reactor
Reactor Core - Void fluid convertor|Núcleo del Reactor - Convertidor de Fluidos Vacíos
Central Factory - Sector B - Water Intake System|Fábrica Central - Sector B - Sistema de Entrada de Agua
Central Factory - Facade|Fábrica Central - Fachada
Central Factory - Sector C|Fábrica Central - Sector C
Central Factory - Sector C - Chimney Canopy|Fábrica Central - Sector C - Dosel de Chimeneas
Industrial District|Distrito Industrial
Scavenger Colony|Colonia Carroñera
Industrial Port Area|Área del Puerto Industrial
Hold right to exit animation|Mantén pulsado derecha para salir de la animación
Yeah this area is scrapped lol|Sí, esta área fue descartada xd
Sorry this one's still in NNH so we can't show you|Perdón, esta todavía está en NNH, así que no la podemos mostrar
Farlands|Tierras Lejanas
Limestone Caves|Cuevas de Caliza
Stonepit|Pedrera
Swamplands|Ciénagas
Subway Lines|Líneas de Metro
Abandoned Drainage System|Sistema de Drenado Abandonado
Incinerator|Incinerador
Pump Station (Beta)|Central de Bombas de Agua (Beta)
Pump Station (Alpha)|Central de Bombas de Agua (Alfa)
Oil Station|Central Petrolera
Living Areas|Zonas de Trabajo
Corrupted Refinery|Refinería Corrupta
Refinery|Refinería
Refinery (Pump Station)|Refinería (Central de Bombas de Agua)
Communication Relay|Repetidor de Comunicación
Info (You can swim on the surface of oil, but if you dive, you will drown)|Información: Puedes nadar sobre la superficie del petróleo, pero si te sumerges, te ahogarás
Swamplands (Purple)|Ciénagas (Moradas)
Sewers|Alcantarillas
Suburbs|Barrios de las Afueras
//2923894366
Pilgrims' Ascent|Ascenso de los Peregrinos
Five Pebbles (Blind Spot)|Cinco Guijarros (Punto Ciego)
//2928752589
Center|Centrar
Switch|Cambiar
//2961788239
Outsider|Forastero
The Outsider|El Forastero
THE OUTSIDER|EL FORASTERO
A quick and light vegetarian animal that have bioluminescence and short-time flight ability.<LINE>With amazing vigilance and flexible skills, it seeks a foothold in this dark foreign land.|Un animal vegetariano rápido y ligero que tiene bioluminiscencia y una habilidad de vuelo breve.<LINE>Con una vigilancia asombrosa y habilidades flexibles, busca un punto de apoyo en esta tierra extraña y oscura.
Dark Loam|Suelo Franco Oscuro
Degenerate Cathedral|Catedral Degenerada
Dry Ditch|Cuneta Seca
Dust Wasteland|Páramo de Polvo
Discontinued Factories|Fábricas Discontinuadas
Auroral Mercury|Mercurio Auroral
//2964671523
Gravel-Eater|Comegrava
The Gravel-Eater|El comegrava
THE GRAVEL-EATER|EL COMEGRAVA
Awoken from a deep slumber, and tragically stuck in a delicate equilibrium. <LINE> Given a chance at life, will you ever find normalcy? |Despertado de una duermevela profunda y trágicamente adherido a un equilibrio delicado. <LINE> Otorgado con una oportunidad en la vida, ¿podrás hallar algún día la normalidad? 
Seeking refuge from their delacate balance, The Gravel-Eater<LINE>strides foreward through the constant pain|Buscando un refugio por su delicada estabilidad,<LINE>el Comegrava avanza a zancadas atravesando el dolor constante.
Fallen Cathedral|Catedral Caída
Solventicon|Solventicón
The Fissure|La Grieta
Deep Reservoir|Embalse Profundo
Faulting Airducts|Conductos de Aire Defectuosos
Sunbaked Archipelago|Archipiélago Quemado
You are starving, find rocks and other objects to consume.|Tienes inanición, encuentra rocas y otros objetos que consumir.
While in the starved state, you have boosts in attacks and movement.|Mientras estés en un estado de inanición, tus ataques y movilidad mejorarán.
Holding UP while swallowing or while an object is in your stomach may craft something new.|Mantener pulsado ARRIBA mientras tragas o mientras esté un objeto en tu estómago hará que fabriques algo nuevo.
Options|Opciones
Gravel Eater Config|Configuraciones del Comegrava
Unlocked new config for Gravel Eater!|¡Nuevo ajuste desbloqueado para el Comegrava!
You are now nourished and full of gravel.|Ahora estás nutrido y lleno de grava.
